,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
227,2004,4,11,23,2,2004-11-23,CO,19704,CO,N26215,542,12266,1226602,31453,IAH,"Houston, TX",TX,48,Texas,74,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,925,929.0,4.0,4.0,0.0,0.0,0900-0959,29.0,958.0,1139.0,4.0,1134,1143.0,9.0,9.0,0.0,0.0,1100-1159,0.0,,0.0,189.0,194.0,161.0,1.0,1195.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2013,4,10,15,2,2013-10-15,WN,19393,WN,N267WN,258,10140,1014002,30140,ABQ,"Albuquerque, NM",NM,35,New Mexico,86,11259,1125903,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,1055,1123.0,28.0,28.0,1.0,1.0,1000-1059,8.0,1131.0,1347.0,4.0,1330,1351.0,21.0,21.0,1.0,1.0,1300-1359,0.0,,0.0,95.0,88.0,76.0,1.0,580.0,3,11.0,0.0,0.0,0.0,10.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2006,2,4,7,5,2006-04-07,XE,20374,RU,N14943,2358,14122,1412201,30198,PIT,"Pittsburgh, PA",PA,42,Pennsylvania,23,11618,1161801,31703,EWR,"Newark, NJ",NJ,34.0,New Jersey,21,1420,1659.0,159.0,159.0,1.0,10.0,1400-1459,13.0,1712.0,1815.0,8.0,1559,1823.0,144.0,144.0,1.0,9.0,1500-1559,0.0,,0.0,99.0,84.0,63.0,1.0,319.0,2,0.0,0.0,144.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2017,4,11,18,6,2017-11-18,UA,19977,UA,N76288,221,12264,1226402,30852,IAD,"Washington, DC",VA,51,Virginia,38,13930,1393005,30977,ORD,"Chicago, IL",IL,17.0,Illinois,41,1403,1353.0,-10.0,0.0,0.0,-1.0,1400-1459,13.0,1406.0,1444.0,15.0,1503,1459.0,-4.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,120.0,126.0,98.0,1.0,589.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1997,4,11,7,5,1997-11-07,AA,19805,AA,N400AA,843,11618,1161801,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,1645,1708.0,23.0,23.0,1.0,1.0,1600-1659,35.0,1743.0,1935.0,12.0,1943,1947.0,4.0,4.0,0.0,0.0,1900-1959,0.0,,0.0,238.0,219.0,172.0,1.0,1372.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1995,4,11,6,1,1995-11-06,AA,19805,AA,N874AA,1584,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,0,659.0,-1.0,0.0,0.0,-1.0,0001-0559,15.0,714.0,821.0,5.0,0,826.0,-4.0,0.0,0.0,-1.0,0001-0559,0.0,,0.0,90.0,87.0,67.0,1.0,460.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2010,4,10,22,5,2010-10-22,XE,20374,XE,N18101,3012,12266,1226602,31453,IAH,"Houston, TX",TX,48,Texas,74,12264,1226401,30852,IAD,"Washington, DC",VA,51.0,Virginia,38,1915,1914.0,-1.0,0.0,0.0,-1.0,1900-1959,10.0,1924.0,2300.0,5.0,2315,2305.0,-10.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,180.0,171.0,156.0,1.0,1190.0,5,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2003,2,5,26,1,2003-05-26,UA,19977,UA,N512UA,1197,12953,1295301,31703,LGA,"New York, NY",NY,36,New York,22,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,1650,1646.0,-4.0,0.0,0.0,-1.0,1600-1659,29.0,1715.0,1836.0,6.0,1905,1842.0,-23.0,0.0,0.0,-2.0,1900-1959,0.0,,0.0,255.0,236.0,201.0,1.0,1619.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,1999,3,8,13,5,1999-08-13,AS,19930,AS,N968AS,516,11884,1188401,31884,GEG,"Spokane, WA",WA,53,Washington,93,14747,1474702,30559,SEA,"Seattle, WA",WA,53.0,Washington,93,1900,2105.0,125.0,125.0,1.0,8.0,1900-1959,10.0,2115.0,2156.0,4.0,1957,2200.0,123.0,123.0,1.0,8.0,1900-1959,0.0,,0.0,57.0,55.0,41.0,1.0,224.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,1997,1,3,18,2,1997-03-18,NW,19386,NW,N345NW,345,11433,1143301,31295,DTW,"Detroit, MI",MI,26,Michigan,43,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1525,1524.0,-1.0,0.0,0.0,-1.0,1500-1559,21.0,1545.0,1711.0,5.0,1742,1716.0,-26.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,317.0,292.0,266.0,1.0,2079.0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
